Boroughs;Year;NiNo registration
City of London;2011;139,4
Barking and Dagenham;2011;39,4
Barnet;2011;37,6
Bexley;2011;10,4
Brent;2011;70
Bromley;2011;9,2
Camden;2011;53,1
Croydon;2011;25
Ealing;2011;52,8
Enfield;2011;25,4
Greenwich;2011;36,5
Hackney;2011;42,7
Hammersmith and Fulham;2011;61,6
Haringey;2011;63,7
Harrow;2011;33,7
Havering;2011;8
Hillingdon;2011;28,9
Hounslow;2011;51,9
Islington;2011;51,2
Kensington and Chelsea;2011;58,1
Kingston upon Thames;2011;21,8
Lambeth;2011;49
Lewisham;2011;36,7
Merton;2011;38,2
Newham;2011;93,3
Redbridge;2011;42
Richmond upon Thames;2011;16,8
Southwark;2011;53,1
Sutton;2011;12,3
Tower Hamlets;2011;74,7
Waltham Forest;2011;64,9
Wandsworth;2011;41,1
Westminster;2011;69
City of London;2012;121,6
Barking and Dagenham;2012;29,1
Barnet;2012;34,9
Bexley;2012;8,3
Brent;2012;66,9
Bromley;2012;8,5
Camden;2012;52,8
Croydon;2012;20,4
Ealing;2012;45,5
Enfield;2012;23,1
Greenwich;2012;28,2
Hackney;2012;41,5
Hammersmith and Fulham;2012;61,6
Haringey;2012;64,7
Harrow;2012;26
Havering;2012;7,1
Hillingdon;2012;22,1
Hounslow;2012;40,9
Islington;2012;49,8
Kensington and Chelsea;2012;58
Kingston upon Thames;2012;19,2
Lambeth;2012;46
Lewisham;2012;31,6
Merton;2012;32,7
Newham;2012;73
Redbridge;2012;29,1
Richmond upon Thames;2012;15,5
Southwark;2012;50,1
Sutton;2012;10,2
Tower Hamlets;2012;76,2
Waltham Forest;2012;58,8
Wandsworth;2012;36,4
Westminster;2012;65,6
City of London;2013;121,6
Barking and Dagenham;2013;29,1
Barnet;2013;34,9
Bexley;2013;8,3
Brent;2013;66,9
Bromley;2013;8,5
Camden;2013;52,8
Croydon;2013;20,4
Ealing;2013;45,5
Enfield;2013;23,1
Greenwich;2013;28,2
Hackney;2013;41,5
Hammersmith and Fulham;2013;61,6
Haringey;2013;64,7
Harrow;2013;26
Havering;2013;7,1
Hillingdon;2013;22,1
Hounslow;2013;40,9
Islington;2013;49,8
Kensington and Chelsea;2013;58
Kingston upon Thames;2013;19,2
Lambeth;2013;46
Lewisham;2013;31,6
Merton;2013;32,7
Newham;2013;73
Redbridge;2013;29,1
Richmond upon Thames;2013;15,5
Southwark;2013;50,1
Sutton;2013;10,2
Tower Hamlets;2013;76,2
Waltham Forest;2013;58,8
Wandsworth;2013;36,4
Westminster;2013;65,6
