Boroughs;Year;Employment_Rate
City of London;2011;-
Barking and Dagenham;2011;62
Barnet;2011;69,2
Bexley;2011;70,9
Brent;2011;60,6
Bromley;2011;73,7
Camden;2011;61,4
Croydon;2011;66
Ealing;2011;68
Enfield;2011;64,8
Greenwich;2011;67,7
Hackney;2011;67
Hammersmith and Fulham;2011;66,7
Haringey;2011;65,7
Harrow;2011;73,4
Havering;2011;73,9
Hillingdon;2011;69,5
Hounslow;2011;72,4
Islington;2011;68
Kensington and Chelsea;2011;62,6
Kingston upon Thames;2011;67,9
Lambeth;2011;72,4
Lewisham;2011;67,7
Merton;2011;71,3
Newham;2011;54,4
Redbridge;2011;63
Richmond upon Thames;2011;74,5
Southwark;2011;63,3
Sutton;2011;73,3
Tower Hamlets;2011;60
Waltham Forest;2011;67,8
Wandsworth;2011;75,5
Westminster;2011;62,9
City of London;2012;-
Barking and Dagenham;2012;61,9
Barnet;2012;66,5
Bexley;2012;73,6
Brent;2012;66,6
Bromley;2012;74,4
Camden;2012;65
Croydon;2012;71,7
Ealing;2012;66,4
Enfield;2012;64,2
Greenwich;2012;69,4
Hackney;2012;63,4
Hammersmith and Fulham;2012;68,9
Haringey;2012;66,4
Harrow;2012;71,3
Havering;2012;69,1
Hillingdon;2012;69,8
Hounslow;2012;72,3
Islington;2012;66
Kensington and Chelsea;2012;65,3
Kingston upon Thames;2012;70,5
Lambeth;2012;70,7
Lewisham;2012;67,5
Merton;2012;73
Newham;2012;60,1
Redbridge;2012;65,7
Richmond upon Thames;2012;75,6
Southwark;2012;68,8
Sutton;2012;74,8
Tower Hamlets;2012;61,5
Waltham Forest;2012;67,7
Wandsworth;2012;74,5
Westminster;2012;64,4
City of London;2013;-
Barking and Dagenham;2013;64,2
Barnet;2013;72,3
Bexley;2013;73,2
Brent;2013;67,1
Bromley;2013;75,7
Camden;2013;63,6
Croydon;2013;73,4
Ealing;2013;65,4
Enfield;2013;66,8
Greenwich;2013;64,4
Hackney;2013;62,6
Hammersmith and Fulham;2013;70,9
Haringey;2013;68,4
Harrow;2013;67,9
Havering;2013;70,7
Hillingdon;2013;70,6
Hounslow;2013;74,1
Islington;2013;68,5
Kensington and Chelsea;2013;65,5
Kingston upon Thames;2013;73,9
Lambeth;2013;78
Lewisham;2013;71,3
Merton;2013;76,1
Newham;2013;62
Redbridge;2013;67,1
Richmond upon Thames;2013;77,1
Southwark;2013;65
Sutton;2013;77,9
Tower Hamlets;2013;63,2
Waltham Forest;2013;70,8
Wandsworth;2013;74,3
Westminster;2013;66,7
