Boroughs;Year;% of economically active with NVQ4+ - working age;% of economically active with NVQ3 only - working age;% of economically active with Trade Apprenticeships - working age;% of economically active with NVQ2 only - working age;% of economically active with NVQ1 only - working age;% of economically active with other qualifications - working age;% of economically active with no qualifications - working age;Gross Annual Pay - Full Time - Total (£);Gross Annual Pay - Full Time - Male (£);Gross Annual Pay - Full Time - Female (£);Those who have done any voluntary work in the last 12 months (%);Number of active businesses;Two-year business survival rates;Number Employed - Total;Number Employed - Male;Number Employed - Female;Jobs Density;Crime Rates per thousand population;Fires per thousand population;Ambulance incidents per hundred population;Total Carbon Emissions;Household Waste Recycling Rate;Number of Licensed Vehicles;Traffic Flows;% of adults who cycle at least once per month;Road Casualties (Killed or Seriously Injured);% children living in out-of-work households;% of Children in Poverty,,,,,,,,,,,,,,,,
City of London;2011;!;!;!;!;!;!;!;54381;63793;40818;-;16250;63,8;430000;280000;149000;74,76;-;14,43604965;81,71883432;1388,637048;37;3802;162;18;49;11,7;14,3,,,,,,,,,
Barking and Dagenham;2011;33,2;13,7;3,5;16,3;14,3;10,4;8,6;28201;31425;22846;20,52970603;4280;72,5;53000;34000;19000;0,45;100,6528399;5,175667945;14,18015388;783,8799424;30;65278;584;9;49;32,0;33,6
Barnet;2011;57,3;10,9;1,2;9,3;7,5;10,1;3,7;30237;33203;26486;33,17655799;21205;72,1;148000;69000;78000;0,62;73,50547354;2,55637163;11,18538449;1498,341242;34;150912;1587;9;141;17,5;20,1
Bexley;2011;29,6;19;2,9;19,2;17,2;7,3;4,8;28638;30562;24980;22,13447998;7245;76,7;78000;42000;38000;0,53;52,27387939;3,015800734;11,34362085;1038,058438;53;117307;902;10;49;19,0;18,9,
Brent;2011;33,8;14,8;1,9;11,4;9,2;20,7;8,2;26772;28497;22443;17,25858577;12835;73,9;114000;66000;48000;0,53;101,1769604;2,536469759;11,71515957;1146,520073;37;104342;873;10;72;25,3;28,8
Bromley;2011;47,1;17,5;2,1;12,8;10,5;4,6;5,4;28163;31150;22020;28,97258431;13080;76,6;121000;57000;65000;0,61;70,52879692;3,635438603;10,39464956;1298,996154;50;161770;1200;14;81;16,3;16,7
Camden;2011;69,4;8,2;!;7,2;5,2;5,6;4;35967;38089;32716;21,9178877;25930;71,4;326000;179000;147000;2,02;162,6584033;3,380481355;15,78875626;1484,26725;33;58121;466;18;100;30,6;33,6,,
Croydon;2011;43,1;12;2,1;16,5;12;8,2;6,2;28979;30738;24851;27,18704922;12700;74,9;137000;69000;68000;0,56;89,84005592;3,231775009;12,58199361;1424,53176;38;147735;1153;8;109;23,5;24,6,,
Ealing;2011;54,7;13,8;1,8;7,4;6,8;9,5;5,9;28646;31350;24367;32,07985674;14570;76,7;147000;93000;56000;0,63;96,00252274;2,584626629;11,93201577;1486,093332;41;129897;1215;14;66;22,5;25,1
Enfield;2011;44;13;1,8;12,5;12,5;10,9;5,4;26412;28862;24625;22,43595659;10980;71,2;110000;61000;49000;0,54;73,03422683;3,00380652;12,02032268;1312,548334;35;131512;1479;8;98;29,4;32,5,,
Greenwich;2011;49,2;14;1,1;10,7;9;9,3;6,6;29932;32405;26734;17,41237408;7290;73,3;81000;40000;41000;0,47;87,7357789;4,638273388;12,69790945;1073,087581;39;82812;1079;14;94;27,9;29,2,,
Hackney;2011;56,6;7,2;0,7;12,5;7,3;8,7;7;33512;35483;32322;29,6391755;12150;75,4;112000;62000;50000;0,63;112,8803877;3,446852926;12,25736502;813,1075442;24;48158;482;22;108;30,2;35,6,
Hammersmith and Fulham;2011;66,7;9,1;1,2;5,5;5,4;5,6;6,5;36143;41423;32462;30,48189036;11915;73;140000;75000;65000;1,03;128,4003398;2,92690948;12,69204418;963,3000704;30;50760;531;20;77;27,4;29,7,
Haringey;2011;60;9,8;1;9,6;4,7;11;3,9;28032;29394;26189;29,84895126;10005;73,6;76000;39000;35000;0,41;101,3970416;3,165844878;13,34781248;871,2595449;26;71293;539;16;78;28,7;31,9,,,
Harrow;2011;49,3;13,1;1,9;12,7;4,8;13,3;4,9;27540;32532;20973;38,87760719;11905;75,1;77000;37000;40000;0,48;58,91500588;1,900215801;9,717296122;813,535108;48;106065;569;8;37;17,2;19,9
Havering;2011;21,7;19,5;3,8;21,8;18;6,8;8,4;28415;31552;26471;16,93825795;8170;75,1;83000;38000;45000;0,55;72,7197838;3,48005901;11,69224174;1118,423364;35;125338;1480;15;74;19,3;18,9,
Hillingdon;2011;37,8;12,4;3,7;15,5;13;9,2;8,4;33589;36231;27754;23,75572754;10525;76,6;201000;120000;80000;1,1;86,88597781;3,695113231;14,45667679;1812,088822;43;149089;2036;10;74;20,4;22,0,
Hounslow;2011;51,9;10,3;1,6;12,4;9,3;8,3;6,3;32759;35549;28539;26,92526823;10895;75,9;149000;90000;59000;0,85;97,1572254;2,993013686;12,12111703;1412,90372;35;106197;1499;19;73;22,0;24,4
Islington;2011;69,2;6,1;1,4;5,5;7,6;6,1;4,1;35996;39644;31748;31,12863711;14395;75,5;201000;117000;84000;1,29;131,0080714;3,621203675;13,93121167;1022,666132;32;43318;409;24;100;36,3;39,1
Kensington and Chelsea;2011;69,4;9,1;!;5;5,2;7;4;31491;32325;30553;31,07867349;12265;74,2;138000;66000;70000;1,2;131,2219196;2,268548066;12,27543586;1308,037626;34;49890;520;17;82;23,1;24,8,,,,
Kingston upon Thames;2011;54,2;10,8;1,1;12,9;10,9;4,7;5,3;28997;29715;25782;42,70229617;7770;79,2;80000;44000;36000;0,72;70,00922486;2,194021292;11,2362562;741,8225332;47;73609;901;17;44;12,4;13,8
Lambeth;2011;66,2;7,6;0,6;5,2;5,1;7,6;7,8;34836;37409;31190;31,66478385;11480;75,8;150000;80000;70000;0,66;121,4952657;3,106926212;14,14439653;1219,87757;28;72343;746;25;169;29,5;31,8
