Boroughs,Year,All Pupils at the End of KS4 Achieving 5+ A* - C Including English and Mathematics,Boy Pupils at the End of KS4 Achieving 5+ A*-C Including English and Mathematics,Girl Pupils at the End of KS4 Achieving 5+ A*-C Including English and Mathematics,perc pupils free school meals,Rates of Children Looked After,perc of pupils whose first language is not English,Male Life Expectancy (3 year avg),Female Life Expectancy 3-year avg),Teenage Conception Rate,Life Satisfaction Score(out of 10),Worthwhileness Score (out of 10),Happiness Score (out of 10),Anxiety score (out of 10),Current Cigarette Smoker (%),Childhood Obesity Prevalance (%),People aged 17+ with diabetes (perc)
City of London,2011,-,-,-,-,133,70.85714286,-,-,-,-,5.14,-,7.61,-,-,-
Barking and Dagenham,2011,58.6,55.3,62.1,24.73617438,78,37.87826685,77.6,82,46.3,7.04,7.47,6.93,3.23,23,26.91956124,6.175470076
Barnet,2011,68.5,67.4,69.6,18.94503564,37,41.301059,81.4,84.5,13.8,7.45,7.72,7.26,3.33,18,19.17602996,5.677120769
Bexley,2011,64.9,58.4,71.6,12.5897335,39,12.04330927,80.3,84.4,28.4,7.4,7.71,7.2,3.12,19,22.18597064,5.741054245
Brent,2011,59.3,52.8,66.2,25.76254096,56,58.36113706,79.9,84.5,22.5,7.04,7.16,7.03,2.74,19,22.59713701,6.775495584
Bromley,2011,70.4,64.8,76.1,11.31520783,38,7.805164319,81,84.5,26.3,7.54,7.9,7.53,3.21,18,15.63042723,5.006651302
Camden,2011,59.9,56.6,63,36.38616176,73,53.5924933,80.5,85.4,18.9,7.24,7.38,7.28,3.8,17,22.30538922,3.795602692
Croydon,2011,63.1,59.1,67.2,20.37816337,97,25.75150301,79.2,83.2,32.8,7.06,7.54,7.18,3.51,20,22.87844037,5.713190564
Ealing,2011,61.5,57,66.1,21.96808962,51,56.03219213,79.2,84.2,25.7,7.15,7.6,6.92,3.92,21,22.17364147,6.471260996
Enfield,2011,57.3,53.9,61.2,26.52584426,39,43.46493163,80.5,84,25.8,7.19,7.53,7.12,3.17,19,23.7804878,6.293063237
Greenwich,2011,63.7,61.9,65.7,26.82762523,99,37.21228041,78.5,82.2,38.1,7.2,7.36,7.07,3.42,19,24.92741601,5.115191924
Hackney,2011,58.6,55.4,61.5,36.9146889,48,50.74549011,77.7,82.8,30.7,7.03,7.38,7.07,3.91,29,27.14285714,5.214536172
Hammersmith and Fulham,2011,57.8,53,62.3,36.0531094,78,46.29389703,79.1,83.3,32.8,7.33,7.46,7.17,2.94,19,25.82368655,4.21971233
Haringey,2011,58.6,55.1,62.1,30.40131177,107,50.73033708,79.4,83.8,36.2,7.09,7.34,7.05,3.23,21,23.76367615,5.182289095
Harrow,2011,67.1,63.7,70.9,18.41342238,26,53.56768886,82,85.6,16.5,7.3,7.34,7.33,2.6,15,20.32321254,7.313562224
Havering,2011,62,56.8,67.3,12.5690033,39,7.891009852,79.3,83.8,28,7.38,7.72,7.32,3.35,20,20.94845361,5.328277368
Hillingdon,2011,63.1,60.4,66.1,17.13500101,61,35.89472292,79.9,83.5,27.9,7.38,7.59,7.31,3.52,18,20.68610635,5.929750341
Hounslow,2011,58.9,53.8,64.1,19.2424902,61,55.77527377,79.5,83.3,30,7.24,7.5,7.36,3.53,17,23.27996538,6.034274928
Islington,2011,55.2,52.5,57.9,46.50185742,90,45.02132196,77.8,83.2,34.4,7.09,7.31,7.08,3.64,21,22.08121827,4.78765707
Kensington and Chelsea,2011,-,-,-,30.90844571,47,54.14712154,82.1,85.8,24.7,7.61,7.72,7.45,3.31,19,22.39336493,3.553796872
Kingston upon Thames,2011,70.2,65.5,74.7,9.269998672,34,28.82277507,81.4,84.8,22.1,7.29,7.67,7.28,3.57,18,15.26501767,4.468549597
Lambeth,2011,59.9,56.4,63.6,34.19012774,83,44.57456888,78.2,83,34.8,7.14,7.42,7.17,3.34,18,23.97937258,4.19667041
Lewisham,2011,58.6,54.6,62.9,25.83974479,77,29.32338147,78.2,82.6,39.9,7.09,7.42,7.07,3.63,23,25.04132231,5.418237561
Merton,2011,65.3,61.6,69.4,14.7821638,31,36.6395664,80.2,84.2,27.6,7.18,7.55,7,3.78,15,18.99109792,5.006401667
Newham,2011,61.2,56.9,65.3,32.9142026,64,70.41422888,77.7,82.6,26.9,7.17,7.35,7.05,3.91,21,25.61604585,6.850768092
Redbridge,2011,70.4,66.3,74.8,17.58755023,30,56.22078685,80.3,84,25.5,7.29,7.6,7.36,3.36,16,23.16017316,7.012300938
Richmond upon Thames,2011,68.6,63.4,73.5,11.42107773,22,18.87119307,81.7,85.9,19.8,7.52,7.75,7.24,3.32,22,12.94269156,3.446924499
Southwark,2011,60,55,65,32.97913024,89,41.330465,78,83.1,42.7,7.32,7.51,7.19,3.6,20,28.46120874,4.448959599
Sutton,2011,70.2,64.5,75.9,11.01613849,38,16.96409899,80.5,84,30.5,7.37,7.67,7.15,3.14,16,19.26707385,5.262013911
Tower Hamlets,2011,62.1,57.2,66.8,50.2733074,60,74.42187261,77.1,82,28.5,7.03,7.14,7.03,3.51,23,25.09976057,5.848898296
Waltham Forest,2011,56.4,50.4,63.2,24.68465175,52,47.52752438,79.2,83.4,31.2,7.16,7.29,7.17,3.41,21,23.54141167,5.895448806
Wandsworth,2011,60.4,57,64.1,25.88851227,38,42.60957382,79.1,83.2,29.4,7.48,7.63,7.33,3.71,18,19.98964267,3.912667089
Westminster,2011,66.3,59.6,72.8,38.01313241,60,68.08321775,81.1,85.1,23.2,7.33,7.56,7.28,3.51,22,24.80127186,3.703791932
City of London,2012,81.8,-,-,-,102,70,-,-,-,8.1,8.23,7.44,-,-,-,2.667386335
Barking and Dagenham,2012,60.6,57.7,63.6,28.59042553,78,39.93652915,77.7,82.4,35.4,7.06,7.57,6.97,3.3,22,24.40911044,6.418406943
Barnet,2012,72.3,69.4,75.3,18.09133489,36,42.46174926,81.9,85,14.7,7.35,7.79,7.27,2.63,14,19.06548431,5.760310752
Bexley,2012,65.6,59.4,71.8,12.35332543,45,12.79229711,80.3,84.3,25.8,7.47,7.75,7.21,3.22,18,24.30583501,6.305870332
Brent,2012,62.3,57.3,67.4,25.05651931,51,59.70950013,80,84.9,19.6,7.23,7.32,7.09,3.33,15,23.6929186,7.706844239
Bromley,2012,75.5,72.9,78.2,11.88027793,41,8.567726737,81.3,84.9,24.2,7.63,7.8,7.36,3.2,18,17.05902422,5.097282937
Camden,2012,60.7,53.8,67.6,35.91786987,67,54.73882606,81.1,86,18.1,7.22,7.37,7.13,3.25,18,21.84615385,3.757623994
Croydon,2012,65.1,61.2,69.1,20.26108189,84,26.74228378,80,83.5,28.6,7,7.46,7.11,3.02,17,22.31662419,6.103182881
Ealing,2012,64,59.3,68.6,21.87144424,53,57.29682421,79.9,84.3,22.4,7.24,7.48,7.44,3.58,20,22.74509804,6.588042747
Enfield,2012,63.3,60.3,66.3,26.22384226,39,44.23947169,80.6,84.3,26.4,7.18,7.57,7.41,2.51,18,24.1012367,6.763151181
Greenwich,2012,65.2,63,67.5,25.95440155,92,38.60662425,78.7,82.8,34.7,7.16,7.49,7.05,3.68,18,24.65362673,5.571368822
Hackney,2012,63,60.7,65.2,36.41549392,56,51.10423117,78.2,83.2,28.8,7.07,7.42,7.02,3.61,23,25.23124358,5.349116669
Hammersmith and Fulham,2012,59.2,56.9,61.6,34.19882527,70,46.15637319,79.1,83.5,25.6,7.23,7.6,6.94,3.15,24,20.14519056,4.252838686
Haringey,2012,62.8,59.9,65.6,29.24556823,100,51.10381078,80.1,84.7,33.1,7.2,7.44,7.13,3.07,21,23.39638158,5.531737855
Harrow,2012,70.1,64,76.2,16.91000288,29,55.98751836,82.4,85.9,14.2,7.34,7.53,7.35,3.17,13,20.43519395,7.990866569
Havering,2012,64.1,60,68.1,13.11084625,36,8.833256066,79.8,83.8,26.4,7.4,7.65,7.24,3.17,19,19.93970715,5.438715651
Hillingdon,2012,63.2,56.8,69.9,16.77606305,57,37.80936237,80.4,83.7,27.7,7.35,7.63,7.34,3.34,18,19.82167353,6.119622589
Hounslow,2012,64,60.6,67.6,19.41917983,56,56.29525593,79.7,83.4,30.4,7.3,7.6,7.29,3.51,17,24.64818763,6.125716103
Islington,2012,62.9,60.1,65.5,46.5055176,91,45.89791061,78.2,83.4,30.1,7.08,7.22,6.85,3.74,22,21.75048988,4.839707074
Kensington and Chelsea,2012,72.8,-,-,29.87012987,52,53.66943867,82.6,86.2,17.7,7.68,7.92,7.51,3.06,17,20.09345794,3.928495121
Kingston upon Thames,2012,69.8,66.6,73,9.481856246,38,29.6948118,81.3,84.5,20,7.29,7.45,7.18,3.23,15,16.99489424,4.75288913
Lambeth,2012,64.2,61.3,66.8,33.43981677,84,45.29411765,78.4,83.5,33.2,7.09,7.4,6.97,3.69,21,23.40328467,4.360707504
Lewisham,2012,61.3,56.9,65.7,25.87236718,78,30.22835395,78.7,83,42,7.23,7.71,7.13,3.35,21,23.25962326,5.562365636
Merton,2012,67.2,64.3,70.4,14.96179163,30,38.4416826,80.3,84.1,25.5,7.18,7.54,7.13,3.59,15,21.28514056,5.230566658
Newham,2012,59.1,53.6,64.5,31.14543594,58,71.38454514,78.5,82.6,24.1,7.22,7.51,7.32,3.36,16,27.29475101,6.939925051
Redbridge,2012,70.1,66,74.6,17.9739346,31,57.21440111,80.7,84.2,16.2,7.28,7.44,7.34,3.12,15,21.27723068,7.136892272
Richmond upon Thames,2012,75.5,71.2,79.8,10.66480056,19,19.41095513,81.9,85.9,19.9,7.42,7.69,7.33,3.56,14,13.8332256,3.600776158
Southwark,2012,66.3,62.4,70.1,34.08069349,93,40.10376135,78.6,83.8,31.8,7.27,7.68,7.2,3.28,20,26.67234768,4.509372144
Sutton,2012,72.3,69.5,74.9,11.48972291,36,18.23620423,80.8,84.1,25.8,7.25,7.57,7.13,3.34,17,19.62669683,5.43979006
Tower Hamlets,2012,64.3,61.9,66.7,46.52222054,53,73.70007536,77.5,82.6,24.3,7.28,7.56,7.32,2.93,19,26.45705521,5.977379487
Waltham Forest,2012,59.5,53.2,66,24.04812168,51,49.29087833,79.7,83.7,29.9,7.24,7.72,7.26,2.99,23,22.91033435,5.929626317
Wandsworth,2012,62.8,58.9,66.9,25.03237804,39,43.10414154,79.2,83.3,25.5,7.23,7.55,7.28,3.55,14,20.22645394,4.230437405
