Year;Month;Max degree C;Min degree C;Air Forest Days;Rainfall (mm);Sun Hours
2011;1;7.4;2.8;8;76.8;35.6
2011;2;10.2;4.8;1;42.8;36.2
2011;3;12.3;3.8;4;14.6;126.4
2011;4;19.7;8.6;0;2.4;218.0
2011;5;19.4;9.4;0;24.6;218.0
2011;6;20.7;11.0;0;84.0;173.5
2011;7;21.7;12.6;0;49.8;173.6
2011;8;21.8;13.4;0;68.8;144.1
2011;9;21.3;12.4;0;35.0;161.2
2011;10;18.1;10.1;0;18.4;140.4
2011;11;13.6;7.3;0;29.0;52.5
2011;12;9.9;3.8;4;63.0;60.6
2012;1;9.8;3.4;7;34.4;68.5
2012;2;8.0;1.3;12;16.8;84.9
2012;3;14.7;4.7;0;16.2;180.3
2012;4;13.3;4.9;1;98.4;141.7
2012;5;18.2;9.7;0;25.4;166.6
2012;6;19.4;11.6;0;110.8;118.5
2012;7;21.3;13.2;0;71.8;161.6
2012;8;23.5;14.3;0;36.4;182.6
2012;9;20.0;10.3;0;41.2;178.9
2012;10;14.2;8.0;0;88.4;85.6
2012;11;11.0;4.6;1;71.8;75.4
2012;12;9.0;2.6;10;95.8;58.0
2013;1;6.5;2.0;13;50.1;34.5
2013;2;6.7;1.2;4;32.8;64.9
2013;3;6.9;1.2;11;52.8;62.3
2013;4;13.5;4.7;3;34.0;162.8
2013;5;16.4;7.7;0;41.8;163.3
2013;6;20.3;11.2;0;11.6;157.5
2013;7;27.0;15.2;0;25.2;268.2
2013;8;24.3;14.3;0;32.6;198.7
2013;9;19.7;11.1;0;49.6;118.9
2013;10;17.0;10.6;0;81.4;89.6
2013;11;10.4;4.7;1;50.0;80.4
2013;12;10.2;3.5;3;98.2;51.3
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
