"","importance_by_rf.1.174."
"Unemployment_Rate_UK",0.014699611609706
"LSOA.crimes.p.tract.p.year.y",0.0122577171193722
"Month",0.0110711350057414
"LSOA.tract.population.y",0.0105209468649581
"LSOA.crimes.p.tract.p.month.y",0.00999103278842749
"POI.Count_lsoa_poi.y",0.00937128201412938
"Youth_Unemployment_Rates_London_16_24",0.00883759177125201
"LSOA.crimes.p.year.p.hectar.y",0.00842816052451976
"Youth_Unemployment_Rates_UK_16_24",0.0082147898856635
"Unemployment_Rate_London",0.00798067696429462
"LSOA.tract.density.persons.p.hect.y",0.00767972923991196
"Quarter",0.00663505571955674
"Gap_London_UK",0.00601269491014918
"Sun.Hours",0.0056703638939492
"hh.lfstg..under.35..One.person.household",0.00566036620378655
"Max.degree.C",0.0054663411059528
"Family.Type..Lone.parent.not.in.employment..Total",0.00508001604852802
"hh.lfstg..under.35..Two.or.more.person.household..With.dependent.children",0.00492015535550317
"hh.composition..One.family.only..Lone.parent",0.00484382761806651
"hh.composition..One.person.hh..Other",0.00476355124463937
"Family.Type..All.lone.parent.housholds.with.dependent.children",0.00467170624667611
"Family.Type..Female.lone.parent..Not.in.employment",0.00466909529934757
"Family.Type..Female.lone.parent..Total",0.00465517689421026
"hh.composition..One.family.only..Lone.parent..Dependent.children",0.00443962607933763
"Min.degree.C",0.00424963880238335
"hh.lfstg..35.to.54..Two.or.more.person.household..With.dependent.children",0.00416326254946585
"hh.lfstg..under.35..Total",0.00397009772085744
"hh.lfstg..under.35..Two.or.more.person.household..No.dependent.children",0.00380210196778645
"Rainfall..mm.",0.00364120009331334
"Multiple.Ethnic.Group..One.person.household",0.00357790893023757
"LSOA.tract.hectares.y",0.00356703592764795
"Family.Type..Female.lone.parent..In.part.time.employment",0.00346296398035214
"hh.composition..One.person.hh",0.00331981987252833
"hh.composition..One.family.only..Married.or.same.sex.civil.partnership.couple..Dependent.children",0.00328899787608082
"hh.composition..One.family.only..Married.or.same.sex.civil.partnership.couple",0.00326026976868836
"Family.Type..Lone.parent.in.part.time.employment..Total",0.00312035890484852
"hh.composition..One.family.only..Cohabiting.couple..No.children",0.00307916148099108
"hh.composition..One.family.only..Married.or.same.sex.civil.partnership.couple..No.children",0.00306251672760995
"hh.composition..One.family.only..Lone.parent..All.children.non.dependent",0.00301845032943125
"hh.composition..Other.hh.types..With.dependent.children",0.00293868857103375
"Multiple.Ethnic.Group..Different.ethnic.groups.within.partnerships..whether.or.not.different.ethnic.groups.between.generations.",0.00284909668628328
"hh.lfstg..35.to.54..One.person.household",0.00278214114667507
"hh.composition..Other.hh.types..Other",0.00263859183035105
