Boroughs;Year;NEETS numbers
City of London;2011;10
Barking and Dagenham;2011;510
Barnet;2011;410
Bexley;2011;300
Brent;2011;400
Bromley;2011;550
Camden;2011;300
Croydon;2011;770
Ealing;2011;320
Enfield;2011;490
Greenwich;2011;410
Hackney;2011;270
Hammersmith and Fulham;2011;160
Haringey;2011;320
Harrow;2011;180
Havering;2011;400
Hillingdon;2011;340
Hounslow;2011;320
Islington;2011;420
Kensington and Chelsea;2011;130
Kingston upon Thames;2011;150
Lambeth;2011;270
Lewisham;2011;470
Merton;2011;260
Newham;2011;520
Redbridge;2011;410
Richmond upon Thames;2011;180
Southwark;2011;330
Sutton;2011;280
Tower Hamlets;2011;370
Waltham Forest;2011;330
Wandsworth;2011;260
Westminster;2011;170
City of London;2012;0
Barking and Dagenham;2012;430
Barnet;2012;350
Bexley;2012;340
Brent;2012;250
Bromley;2012;430
Camden;2012;460
Croydon;2012;550
Ealing;2012;340
Enfield;2012;500
Greenwich;2012;570
Hackney;2012;530
Hammersmith and Fulham;2012;130
Haringey;2012;290
Harrow;2012;150
Havering;2012;410
Hillingdon;2012;320
Hounslow;2012;330
Islington;2012;470
Kensington and Chelsea;2012;190
Kingston upon Thames;2012;160
Lambeth;2012;590
Lewisham;2012;270
Merton;2012;230
Newham;2012;610
Redbridge;2012;370
Richmond upon Thames;2012;140
Southwark;2012;640
Sutton;2012;280
Tower Hamlets;2012;380
Waltham Forest;2012;340
Wandsworth;2012;410
Westminster;2012;280
City of London;2013;10
Barking and Dagenham;2013;460
Barnet;2013;230
Bexley;2013;360
Brent;2013;300
Bromley;2013;630
Camden;2013;190
Croydon;2013;450
Ealing;2013;340
Enfield;2013;500
Greenwich;2013;540
Hackney;2013;250
Hammersmith and Fulham;2013;110
Haringey;2013;280
Harrow;2013;140
Havering;2013;380
Hillingdon;2013;320
Hounslow;2013;320
Islington;2013;260
Kensington and Chelsea;2013;100
Kingston upon Thames;2013;190
Lambeth;2013;220
Lewisham;2013;320
Merton;2013;270
Newham;2013;460
Redbridge;2013;360
Richmond upon Thames;2013;170
Southwark;2013;250
Sutton;2013;290
Tower Hamlets;2013;360
Waltham Forest;2013;300
Wandsworth;2013;210
Westminster;2013;140
