Boroughs,Year,Births,,,,
City of London,2011,-,,,,
Barking and Dagenham,2011,3688,,,,
Barnet,2011,5506,,,,
Bexley,2011,3172,,,,
Brent,2011,5228,,,,
Bromley,2011,4141,,,,
Camden,2011,3117,,,,
Croydon,2011,5720,,,,
Ealing,2011,5803,,,,
Enfield,2011,4904,,,,
Greenwich,2011,4561,,,,
Hackney,2011,4450,,,,
Hammersmith and Fulham,2011,2754,,,,
Haringey,2011,4227,,,,
Harrow,2011,3466,,,,
Havering,2011,2895,,,,
Hillingdon,2011,4357,,,,
Hounslow,2011,4561,,,,
Islington,2011,3008,,,,
Kensington and Chelsea,2011,2185,,,,
Kingston upon Thames,2011,2289,,,,
Lambeth,2011,4784,,,,
Lewisham,2011,4896,,,,
Merton,2011,3537,,,,
Newham,2011,6335,,,,
Redbridge,2011,4605,,,,
Richmond upon Thames,2011,2935,,,,
Southwark,2011,5089,,,,
Sutton,2011,2756,,,,
Tower Hamlets,2011,4545,,,,
Waltham Forest,2011,4811,,,,
Wandsworth,2011,5477,,,,
Westminster,2011,3041,,,,
City of London,2012,-,,,,
Barking and Dagenham,2012,3957,,,,
Barnet,2012,5585,,,,
Bexley,2012,3076,,,,
Brent,2012,5340,,,,
Bromley,2012,4140,,,,
Camden,2012,2944,,,,
Croydon,2012,5884,,,,
Ealing,2012,5847,,,,
Enfield,2012,5094,,,,
Greenwich,2012,4624,,,,
Hackney,2012,4585,,,,
Hammersmith and Fulham,2012,2646,,,,
Haringey,2012,4209,,,,
Harrow,2012,3585,,,,
Havering,2012,2888,,,,
Hillingdon,2012,4536,,,,
Hounslow,2012,4621,,,,
Islington,2012,2988,,,,
Kensington and Chelsea,2012,2024,,,,
Kingston upon Thames,2012,2328,,,,
Lambeth,2012,4825,,,,
Lewisham,2012,5095,,,,
Merton,2012,3476,,,,
Newham,2012,6426,,,,
Redbridge,2012,4792,,,,
Richmond upon Thames,2012,2916,,,,
Southwark,2012,5030,,,,
Sutton,2012,2708,,,,
Tower Hamlets,2012,4784,,,,
Waltham Forest,2012,4832,,,,
Wandsworth,2012,5451,,,,
Westminster,2012,2950,,,,
City of London,2013,-,,,,
Barking and Dagenham,2013,3796,,,,
Barnet,2013,5187,,,,
Bexley,2013,2959,,,,
Brent,2013,5170,,,,
Bromley,2013,3899,,,,
Camden,2013,2766,,,,
Croydon,2013,5605,,,,
Ealing,2013,5395,,,,
Enfield,2013,4908,,,,
Greenwich,2013,4442,,,,
Hackney,2013,4500,,,,
Hammersmith and Fulham,2013,2552,,,,
Haringey,2013,4141,,,,
Harrow,2013,3559,,,,
Havering,2013,3004,,,,
Hillingdon,2013,4330,,,,
Hounslow,2013,4443,,,,
Islington,2013,2819,,,,
Kensington and Chelsea,2013,1803,,,,
Kingston upon Thames,2013,2112,,,,
Lambeth,2013,4589,,,,
Lewisham,2013,4827,,,,
Merton,2013,3370,,,,
Newham,2013,6267,,,,
Redbridge,2013,4591,,,,
Richmond upon Thames,2013,2805,,,,
Southwark,2013,4706,,,,
Sutton,2013,2629,,,,
Tower Hamlets,2013,4608,,,,
Waltham Forest,2013,4721,,,,
Wandsworth,2013,5152,,,,
Westminster,2013,2677,,,,
