Boroughs;Year;General Fertility Rates
City of London;2011;-
Barking and Dagenham;2011;84,7
Barnet;2011;67,6
Bexley;2011;66,9
Brent;2011;69,8
Bromley;2011;67
Camden;2011;51,5
Croydon;2011;71
Ealing;2011;72,1
Enfield;2011;68,8
Greenwich;2011;74,3
Hackney;2011;62,8
Hammersmith and Fulham;2011;52,6
Haringey;2011;64,8
Harrow;2011;67,1
Havering;2011;62,2
Hillingdon;2011;70,9
Hounslow;2011;75,3
Islington;2011;50,5
Kensington and Chelsea;2011;55,8
Kingston upon Thames;2011;60,7
Lambeth;2011;56,2
Lewisham;2011;70,2
Merton;2011;73,8
Newham;2011;81,4
Redbridge;2011;73,6
Richmond upon Thames;2011;72
Southwark;2011;63,9
Sutton;2011;67,3
Tower Hamlets;2011;60,4
Waltham Forest;2011;77
Wandsworth;2011;59,9
Westminster;2011;53,7
City of London;2012;-
Barking and Dagenham;2012;89,97885258
Barnet;2012;68,30383896
Bexley;2012;64,93287174
Brent;2012;72,13194473
Bromley;2012;66,49641016
Camden;2012;48,24015206
Croydon;2012;73,0387289
Ealing;2012;73,68341462
Enfield;2012;71,89228859
Greenwich;2012;74,64445413
Hackney;2012;63,74961764
Hammersmith and Fulham;2012;52,49375074
Haringey;2012;64,67524086
Harrow;2012;69,63869464
Havering;2012;61,86671237
Hillingdon;2012;72,50871192
Hounslow;2012;76,16991115
Islington;2012;49,51282561
Kensington and Chelsea;2012;53,86416862
Kingston upon Thames;2012;60,61552882
Lambeth;2012;55,98292086
Lewisham;2012;72,14159292
Merton;2012;72,6269823
Newham;2012;82,3297289
Redbridge;2012;75,52879614
Richmond upon Thames;2012;72,09612817
Southwark;2012;62,70803984
Sutton;2012;65,99244547
Tower Hamlets;2012;62,14520466
Waltham Forest;2012;77,48432514
Wandsworth;2012;59,78678132
Westminster;2012;51,58966108
City of London;2013;-
Barking and Dagenham;2013;85,5
Barnet;2013;63,4
Bexley;2013;62,1
Brent;2013;70,6
Bromley;2013;62,2
Camden;2013;45,5
Croydon;2013;69,5
Ealing;2013;68,8
Enfield;2013;69,5
Greenwich;2013;71,1
Hackney;2013;61,5
Hammersmith and Fulham;2013;52,4
Haringey;2013;63,3
Harrow;2013;70
Havering;2013;63,8
Hillingdon;2013;68,8
Hounslow;2013;73,3
Islington;2013;46
Kensington and Chelsea;2013;49,5
Kingston upon Thames;2013;54,4
Lambeth;2013;53
Lewisham;2013;68,1
Merton;2013;70,9
Newham;2013;80,1
Redbridge;2013;71,4
Richmond upon Thames;2013;69,5
Southwark;2013;57,9
Sutton;2013;64
Tower Hamlets;2013;58,2
Waltham Forest;2013;75,4
Wandsworth;2013;56,6
Westminster;2013;48,3
